country,power_index,total_population,total_military_manpower,fit_for_service,population_reaching_military_age_annually,active_personnel,reserve_personnel,paramilitary,total_military_aircraft,fighter_aircraft,attack_aircraft,transport_aircraft,trainer_aircraft,special_mission_aircraft,tanker_aircraft,total_military_helicopters,attack_helicopters,tanks,armored_fighting_vehicles,self_propelled_artillery,towed_artillery,rocket_projectors,total_naval_fleet,total_naval_fleet_tonnage_mt,aircraft_carriers,helicopter_carriers,submarines,destroyers,frigates,corvettes,coastal_patrol_craft,mine_warfare_craft,defense_budget_usd,external_debt_usd,purchasing_power_parity_usd,foreign_exchange_and_gold_reserves_usd,total_serviceable_airports,labour_force,major_ports_and_terminals,total_merchant_marine_fleet,railway_coverage_km,roadway_coverage_km,oil_production_bbl,oil_consumption_bbl,proven_oil_reserves_bbl,natural_gas_production_cum,natural_gas_consumption_cum,proven_natural_gas_reserves_cum,coal_production_cum,coal_consumption_mt,proven_coal_reserves_cum,total_land_area_sq_km,coastline_coverage_km,border_coverage_km,waterway_coverage_km,continent,region,gdp,alliance
Angola,1.1045,37202061,7440412,3720206,372021,107000,0,10000,278,67,6,32,56,2,0,115,14,319,2258,25,575,116,32,10190,0,0,0,0,0,0,32,0,31200000000,45299000000,278239000000,14243000000,107,15961000,21,64,2761 km,76000 km,1175000 bbl,121000 bbl,7783000000 bbl,5514000000 Cu.M,1397000000 Cu.M,343002000000 Cu.M,0 Cu.M,0 mt,0 Cu.M,1246700 km,1600 km,5369 km,1300 km,Africa,Sub-Saharan Africa,107000000000.0,NATO
Azerbaijan,1.1991,10650239,5218617,3908638,159754,128000,306000,15000,159,12,20,4,36,0,0,87,16,1354,14448,135,651,696,32,10190,0,0,4,0,0,0,17,4,5100000000,12378000000,225198000000,12699000000,32,5020000,0,312,2944 km,24981 km,618000 bbl,109000 bbl,7000000000 bbl,34175000000 Cu.M,11759000000 Cu.M,1699000000000 Cu.M,0 Cu.M,6000 mt,0 Cu.M,86600 km,713 km,2468 km,0 km,Asia,Western Asia,78721058824.0,NATO
Belgium,1.2201,11977634,4910830,3880753,119776,26390,6600,0,104,44,12,7,27,0,0,14,0,0,3588,0,0,0,9,10190,0,0,0,0,2,0,2,5,14900000000,1594190730000,749229000000,41449000000,48,5416000,7,198,3602 km,118414 km,11000 bbl,596000 bbl,0 bbl,13436000 Cu.M,15347000000 Cu.M,0 Cu.M,1269000 Cu.M,4372000 mt,4100000000 Cu.M,30528 km,67 km,1297 km,2043 km,Europe,Western Europe,579000000000.0,NATO
Bulgaria,1.2522,6782659,3187850,2611324,61044,36950,3000,0,71,11,5,6,26,0,0,23,4,334,6724,48,24,24,45,10190,0,0,0,0,6,3,0,17,2485350000,14277000000,219645000000,43698000000,107,3124000,2,78,4029 km,19512 km,4000 bbl,101000 bbl,15000000 bbl,20837000 Cu.M,2801000000 Cu.M,5663000000 Cu.M,20970000 Cu.M,20557000 mt,2174000000 Cu.M,110880 km,354 km,1806 km,470 km,Europe,Eastern Europe,89040398406.0,NATO
Serbia,1.2938,6652212,3259584,2574406,79827,22500,2000,600000,115,11,17,3,33,0,0,51,4,242,7190,96,150,73,30,10190,0,0,0,0,0,0,18,4,2770000000,21726000000,177093000000,30484000000,46,3230000,0,0,3333 km,45022 km,13000 bbl,88000 bbl,77500000 bbl,353376000 Cu.M,2939000000 Cu.M,48139000000 Cu.M,33219000 Cu.M,37828000 mt,7112000000 Cu.M,77474 km,0 km,2322 km,587 km,Europe,Southern Europe,63501748652.0,NATO
Democratic Republic of the Congo,1.3051,115403027,39237029,31389623,2538867,166580,30800,10000,56,0,6,10,2,0,0,38,9,212,7164,16,125,81,16,10190,0,0,0,0,0,0,16,0,960000000,7926000000,164367000000,3898125000,273,38546000,3,24,4007 km,152373 km,19000 bbl,35000 bbl,180000000 bbl,380000 Cu.M,380000 Cu.M,991090000 Cu.M,0 Cu.M,304000 mt,987999000 Cu.M,2344858 km,37 km,10481 km,15000 km,Asia,Sub-Saharan Africa,92021865893.5,NATO
Cuba,1.3345,10966038,5921661,4737328,142558,50000,40000,1145000,20,11,0,4,3,0,0,13,4,194,7792,140,364,200,19,10190,0,0,0,0,1,1,6,4,3301500000,36372600000,81165000000,10442000000,120,489000,34,65,8367 km,60000 km,34000 bbl,118000 bbl,124000000 bbl,659434000 Cu.M,659434000 Cu.M,70792000000 Cu.M,0 Cu.M,1000 mt,0 Cu.M,110860 km,3735 km,29 km,240 km,Americas,Latin America and the Caribbean,92021865893.5,NATO
Sudan,1.3563,50467278,26747657,17108407,1312149,300000,200000,17500,183,37,36,13,33,0,0,64,35,1055,8890,100,1150,800,10,10190,0,0,0,0,0,0,10,0,394700000,21650000000,94420000000,192348850,45,10949000,4,14,7251 km,31000 km,68000 bbl,129000 bbl,1250000000 bbl,0 Cu.M,0 Cu.M,84951000000 Cu.M,0 Cu.M,0 mt,0 Cu.M,1861484 km,853 km,6819 km,4068 km,Africa,Northern Africa,51662241775.0,NATO
Austria,1.3759,8967982,4035592,3632033,98648,25000,125600,0,90,15,0,11,23,0,0,41,0,56,5160,30,0,0,0,10190,0,0,0,0,0,0,0,0,6103900800,693000000000,581131000000,35406000000,62,4768000,0,1,6123 km,126233 km,18000 bbl,244000 bbl,35200000 bbl,618209000 Cu.M,8136000000 Cu.M,5040000000 Cu.M,1288000 Cu.M,5403000 mt,0 Cu.M,83871 km,0 km,2524 km,358 km,Europe,Western Europe,471000000000.0,NATO
Sri Lanka,1.3822,21982608,10551652,8551235,307757,346000,90000,0,90,6,0,15,7,3,0,49,8,87,15021,0,96,28,275,32636,0,0,0,0,5,0,259,0,1500000000,42198000000,301407000000,6094000000,18,8499000,6,96,1562 km,114093 km,0 bbl,100000 bbl,0 bbl,0 Cu.M,0 Cu.M,0 Cu.M,0 Cu.M,2323000 mt,0 Cu.M,65610 km,1340 km,0 km,160 km,Asia,Southern Asia,74403578363.0,NATO
Slovakia,1.3911,5563649,2837461,2353424,61200,20982,0,0,48,7,0,7,11,1,0,22,0,45,6636,35,9,25,0,10190,0,0,0,0,0,0,0,0,2900000000,140360000000,218762000000,14452000000,116,2779000,0,0,3627 km,45106 km,7000 bbl,90000 bbl,9000000 bbl,52556000 Cu.M,60424000 Cu.M,14158000000 Cu.M,2315000 Cu.M,6066000 mt,19000000 Cu.M,49035 km,0 km,1587 km,172 km,Europe,Eastern Europe,92021865893.5,NATO
Belarus,1.4072,9501451,5035769,3724569,104516,63000,365400,55000,194,43,50,4,27,0,0,70,31,577,6820,357,190,206,0,10190,0,0,0,0,0,0,0,0,1034784000,18010000000,265220000000,8912000000,46,4817000,0,4,5528 km,86600 km,30000 bbl,125000 bbl,198000000 bbl,73929000 Cu.M,16683000000 Cu.M,2832000000 Cu.M,0 Cu.M,710000 mt,0 Cu.M,207600 km,0 km,3599 km,2500 km,Europe,Eastern Europe,72793457588.0,NATO
