Country,purchasing_power_parity_usd,foreign_exchange_and_gold_reserves_usd,defense_budget_usd,external_debt_usd,total_land_area_sq_km,coastline_coverage_km,border_coverage_km,waterway_coverage_km,total_population,available_manpower,fit_for_service,population_reaching_military_age_annually,active_personnel,reserve_personnel,paramilitary,total_military_aircraft,fighter_aircraft,attack_aircraft,transport_aircraft,trainer_aircraft,special_mission_aircraft,tanker_aircraft,total_military_helicopters,tanks,self_propelled_artillery,towed_artillery,aircraft_carriers,helicopter_carriers,destroyers,frigates,corvettes,submarines,coastal_patrol_craft,mine_warfare_craft,oil_production_bbl,oil_consumption_bbl,natural_gas_production_cum,natural_gas_consumption_cum,coal_production_cum,coal_consumption_mt,labour_force,total_merchant_marine_fleet,major_ports_and_terminals,total_serviceable_airports,roadway_coverage_km,railway_coverage_km
Morocco,350594000000,37134000000,16100000000,42262000000,715550,1835,2363,0,37387585,0,8,7,1,7,1,163,50,0,19,46,2,1,4,808,326,113,0,0,0,6,1,0,84,0,25,296000,82595000,243201000,0,10304000,12475000,94,12,48,57300,2067
Hungary,389207000000,46422000000,5887250000,151250000000,103000,145,2106,1622,9855745,0,5,2,4,2,2,52,8,0,2,11,0,0,5,154,17,207,,,,,,,,,36000,179000,1523000000,9485000000,4293000,4694000,4954000,1,0,109,203601,7687
Kazakhstan,739385000000,45808000000,5836386000,25765000000,2724900,26,13364,43983,20260006,0,2,4,5,7,3,101,22,8,13,15,0,0,7,212,76,116,0,0,0,0,0,0,23,2,1955000,386000,27011000000,22623000000,120279000,86349000,10285000,122,0,132,96167,16636
Angola,278239000000,14243000000,31200000000,45299000000,1246700,1600,5369,1300,37202061,0,0,0,3,0,0,153,37,3,18,31,1,0,8,191,15,345,0,0,0,0,0,0,32,0,1175000,121000,5514000000,1397000000,0,0,15961000,64,21,107,76000,2761
Azerbaijan,225198000000,12699000000,5100000000,12378000000,86600,713,2468,0,10650239,0,7,5,2,9,1,87,7,11,2,20,0,0,9,880,88,423,0,0,0,0,0,4,17,4,618000,109000,34175000000,11759000000,0,6000,5020000,312,0,32,24981,2944
Belgium,749229000000,41449000000,14900000000,1594190730000,30528,67,1297,2043,11977634,0,4,0,2,1,0,73,31,8,5,19,0,0,0,0,0,0,0,0,0,2,0,0,2,5,11000,596000,13436000,15347000000,1269000,4372000,5416000,198,7,48,118414,3602
Bulgaria,219645000000,43698000000,2485350000,14277000000,110880,354,1806,470,6782659,0,5,9,5,0,0,46,7,3,4,17,0,0,3,217,31,16,0,0,0,6,3,0,0,17,4000,101000,20837000,2801000000,20970000,20557000,3124000,78,2,107,19512,4029
Serbia,177093000000,30484000000,2770000000,21726000000,77474,145,2322,587,6652212,0,7,2,3,0,0,69,7,10,2,20,0,0,2,145,58,90,,,,,,,,,13000,88000,353376000,2939000000,33219000,37828000,3230000,0,0,46,45022,3333
Democratic Republic of the Congo,164367000000,3898125000,960000000,7926000000,2344858,37,10481,15000,115403027,0,2,2,1,0,0,25,0,3,5,1,0,0,4,117,9,69,0,0,0,0,0,0,16,0,19000,35000,380000,380000,0,304000,38546000,24,3,273,152373,4007
Cuba,81165000000,10442000000,3301500000,36372600000,110860,3735,29,240,10966038,0,2,3,5,4,4,9,5,0,2,1,0,0,2,107,77,200,0,0,0,1,1,0,6,4,34000,118000,659434000,659434000,0,1000,489000,65,34,120,60000,8367
Sudan,94420000000,192348850,394700000,21650000000,1861484,853,6819,4068,50467278,0,9,6,6,4,0,92,19,18,7,17,0,0,18,580,55,633,0,0,0,0,0,0,10,0,68000,129000,0,0,0,0,10949000,14,4,45,31000,7251
Austria,581131000000,35406000000,6103900800,693000000000,83871,145,2524,358,8967982,0,5,1,3,4,0,68,11,0,8,17,0,0,0,42,23,0,,,,,,,,,18000,244000,618209000,8136000000,1288000,5403000,4768000,1,0,62,126233,6123
Sri Lanka,301407000000,6094000000,1500000000,42198000000,65610,1340,145,160,21982608,0,9,4,6,4,0,50,3,0,8,4,2,0,4,52,0,58,0,0,0,5,0,0,259,0,0,100000,0,0,0,2323000,8499000,96,6,18,114093,1562
