country,total_military_manpower,fit_for_service,population_reaching_military_age_annually,active_personnel,reserve_personnel,paramilitary,total_military_aircraft,fighter_aircraft,attack_aircraft,transport_aircraft,trainer_aircraft,special_mission_aircraft,tanker_aircraft,total_military_helicopters,attack_helicopters,tanks,armored_fighting_vehicles,self_propelled_artillery,towed_artillery,rocket_projectors,total_naval_fleet,total_naval_fleet_tonnage_mt,aircraft_carriers,helicopter_carriers,submarines,destroyers,frigates,corvettes,coastal_patrol_craft,mine_warfare_craft,defense_budget_usd,external_debt_usd,purchasing_power_parity_usd,foreign_exchange_and_gold_reserves_usd,total_serviceable_airports,labour_force,major_ports_and_terminals,total_merchant_marine_fleet,railway_coverage_km,roadway_coverage_km,oil_production_bbl,oil_consumption_bbl,proven_oil_reserves_bbl,natural_gas_production_cum,natural_gas_consumption_cum,proven_natural_gas_reserves_cum,coal_production_cum,coal_consumption_mt,proven_coal_reserves_cum,total_land_area_sq_km,coastline_coverage_km,border_coverage_km,waterway_coverage_km,power_index,power_index_rank,gdp_usd,continent,region,alliance
Afghanistan,15647405,8826741,842553,75000,0,90000,5,0,0,2,0,0,0,3,0,0,3902,0,0,0,0,121180,0,0,0,0,0,0,0,0,145000000.0,1929750000.0,82238000000.0,8852092000.0,68,9133000,0,0,0,34903,0,58000,0.0,80200000.0,80200000.0,49554000000.0,767000,503000,66000000.0,652230,0,5987,1200,2.7342,121,14583135237.0,Asia,Southern Asia,Non-NATO
Venezuela,15625153,12812625,625006,109000,8000,220000,224,30,0,47,75,3,1,85,10,282,15168,60,92,56,41,121180,0,0,3,0,1,0,26,0,6060000000.0,121363000000.0,110943000000.0,9944750000.0,509,11136000,31,272,447,96189,801000,203000,303806000000.0,17696000000.0,17696000000.0,5674000000000.0,149000,80000,730999000.0,912050,2800,5267,7100,0.9106,51,,Americas,Latin America and the Caribbean,Non-NATO
Syria,15273871,13245310,668232,100000,0,50000,104,52,5,2,8,0,0,39,7,168,18736,60,0,0,12,121180,0,0,0,0,0,0,8,0,145925000.0,4441250000.0,98858000000.0,307766250.0,42,6617000,3,24,2052,69873,65000,102000,2500000000.0,3085000000.0,3084000000.0,240693000000.0,0,15000,0.0,187437,193,2363,900,1.8861,87,,Asia,Western Asia,Non-NATO
Nepal,15249970,11733140,778060,98500,82000,15000,17,0,0,7,0,0,0,10,0,0,1108,0,14,0,0,121180,0,0,0,0,0,0,0,0,431355326.0,5719000000.0,149643000000.0,12456000000.0,51,8435000,0,0,59,64500,0,71000,0.0,0.0,0.0,0.0,9000,1091000,8000000.0,147181,0,3159,0,2.8037,124,40828247302.0,Asia,Southern Asia,Non-NATO
Ghana,14873310,9961658,622604,15500,0,0,18,0,0,2,5,2,0,9,0,0,3648,0,6,6,20,121180,0,0,0,0,0,0,20,0,954423756.0,29241000000.0,243124000000.0,3624000000.0,11,13927000,4,52,947,65725,176000,96000,660000000.0,3192000000.0,3912000000.0,22653000000.0,0,51000,0.0,238533,539,2420,1293,2.4566,112,72838798788.0,Africa,Sub-Saharan Africa,Non-NATO
Mozambique,14674420,7770772,533615,11200,0,3000,23,8,2,5,1,0,0,7,2,60,3488,0,104,12,36,121180,0,0,0,0,0,0,36,0,480000000.0,8274000000.0,51786000000.0,3843000000.0,92,15173000,11,36,4787,30562,0,42000,0.0,5388000000.0,1347000000.0,2832000000000.0,10583000,13000,1792000000.0,799380,2470,4783,460,1.9769,92,17851491428.0,Africa,Sub-Saharan Africa,Non-NATO
Ivory Coast,12292521,7855221,569653,22000,0,5500,22,0,0,3,2,3,0,14,5,0,1328,0,4,6,8,121180,0,0,0,0,0,0,7,0,18200000.0,26576000000.0,215018000000.0,7583484000.0,29,12595000,5,25,660,81996,29000,87000,100000000.0,2635000000.0,2635000000.0,28317000000.0,0,0,0.0,322463,515,3458,980,2.3884,108,,,,Non-NATO
Taiwan,12269542,1061787,306739,230000,1657000,55000,720,258,0,19,215,18,0,239,91,1090,24067,488,1360,223,91,244050,0,0,4,4,21,7,36,10,31180000000.0,229900000000.0,1743000000000.0,541899000000.0,57,11842940,8,465,1613,43206,800,954000,2380000.0,63747000.0,21157000000.0,6230000000.0,5212000,64609000,1000000.0,35980,1566,0,0,0.3927,22,,Asia,Eastern Asia,Non-NATO
Yemen,12213368,9031464,610668,33350,0,20000,160,68,0,3,30,0,0,59,14,0,1550,12,60,30,26,121180,0,0,0,0,0,1,9,0,405187500.0,6492000000.0,18719000000.0,831025575.0,37,7848000,10,30,0,71300,15000,58000,3000000000.0,189432000.0,189432000.0,478555000000.0,0,27000,0.0,527968,1906,1601,0,2.1617,98,,Asia,Western Asia,Non-NATO
Tanzania,12143182,6678750,607159,25000,0,6500,38,11,0,6,6,0,0,15,0,200,8408,0,205,70,12,121180,0,0,0,0,0,0,10,0,1476113361.0,17513000000.0,246706000000.0,5371525000.0,206,32983000,8,381,4097,145203,0,85000,0.0,1808000000.0,1808000000.0,6513000000.0,2341000,740000,1410000000.0,947300,1424,4161,0,1.9111,89,75709289056.0,Africa,Sub-Saharan Africa,Non-NATO
Australia,11242811,9208398,294455,58910,33270,0,348,24,71,37,107,31,6,72,22,46,17118,0,48,8,45,199898,0,2,6,3,7,0,13,3,57350000000.0,3770250000000.0,1635000000000.0,60404000000.0,2257,14912000,66,604,32606,873573,386000,1151000,2446000000.0,153783000000.0,50188000000.0,3228000000000.0,445077000,95667000,149472000000.0,7741220,25760,0,2000,0.3208,17,1680000000000.0,Oceania,Australia and New Zealand,Non-NATO
Madagascar,11192031,7952233,559602,13500,0,8100,6,0,0,1,0,0,0,5,0,12,316,0,17,0,7,121180,0,0,0,0,0,0,5,0,147630000.0,3548000000.0,52968000000.0,2785000000.0,93,16519000,13,29,836,31640,0,20000,0.0,0.0,0.0,0.0,0,472000,150000000.0,587040,4828,0,600,3.0381,131,14954967604.0,Africa,Sub-Saharan Africa,Non-NATO
Sri Lanka,10551652,8551235,307757,346000,90000,0,90,6,0,15,7,3,0,49,8,87,15021,0,96,28,275,32636,0,0,0,0,5,0,259,0,1500000000.0,42198000000.0,301407000000.0,6094000000.0,18,8499000,6,96,1562,114093,0,100000,0.0,0.0,0.0,0.0,0,2323000,0.0,65610,1340,0,160,1.3822,68,74403578363.0,Asia,Southern Asia,Non-NATO
Cameroon,10528476,6224187,495458,38000,0,9000,35,0,0,6,6,2,0,21,0,0,860,18,52,20,19,121180,0,0,0,0,0,0,19,0,835694942.0,11112000000.0,143264000000.0,4882000000.0,37,11119000,7,198,987,77589,64000,41000,200000000.0,2595000000.0,877058000.0,135071000000.0,0,0,0.0,475440,400,5018,0,2.1689,99,44341646509.0,Africa,Sub-Saharan Africa,Non-NATO
